potential(mV),background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
0.0275397034952647,0,1,0,1,1,15,2
0.0235916070344429,0,1,0,1,1,15,2
-0.00355155610556057,0,1,0,1,1,15,2
-0.0109542369536539,0,1,0,1,1,15,2
-0.0163828695734094,0,1,0,1,1,15,2
-0.0168763816296602,0,1,0,1,1,15,2
-0.00256453199221918,0,1,0,1,1,15,2
0.0117473176582905,0,1,0,1,1,15,2
0.130190211880219,0,1,0,1,1,16,2
0.117358898286746,0,1,0,1,1,16,2
0.0936703193805015,0,1,0,1,1,16,2
0.0571504269861691,0,1,0,1,1,16,2
-0.0292141830311134,0,1,0,1,1,16,2
-0.0351363277005703,0,1,0,1,1,16,2
-0.0292141830311134,0,1,0,1,1,16,2
-0.00108399582209096,0,1,0,1,1,16,2
0.0635660837508549,0,1,0,1,1,16,2
0.0862676384814929,0,1,0,1,1,16,2
0.0912027590803541,0,1,0,1,1,16,2
0.081332517884527,0,1,0,1,1,16,2
0.0226045829194028,0,1,0,1,1,16,2
-0.00848667667133984,0,1,0,1,1,16,2
-0.0311882312544962,0,1,0,1,1,16,2
-0.0252660865836489,0,1,0,1,1,16,2
-0.00157750787881605,0,1,0,1,1,16,2
0.0240851190919869,0,1,0,1,1,16,2
0.0517217943414838,0,1,0,1,1,16,2
0.0645531078687696,0,1,0,1,1,16,2
0.0438256014075611,0,1,0,1,1,16,2
0.0206305346895213,0,1,0,1,1,16,2
0.00730570914463691,0,1,0,1,1,16,2
-0.021811502191349,0,1,0,1,1,16,2
-0.0119412610664726,0,1,0,1,1,16,2
-0.00848667667133984,0,1,0,1,1,16,2
0.0137213658869983,0,1,0,1,1,16,2
0.0201370226320918,0,1,0,1,1,16,2
0.0453061375823314,0,1,0,1,1,16,2
0.0339553602463845,0,1,0,1,1,16,2
0.0235916070344429,0,1,0,1,1,16,2
0.00286410063227249,0,1,0,1,1,16,2
-0.026253110695603,0,1,0,1,1,16,2
-0.0237855504156093,0,1,0,1,1,16,2
-0.0203309660229984,0,1,0,1,1,16,2
-0.00256453199221918,0,1,0,1,1,16,2
0.0161889261732471,0,1,0,1,1,16,2
0.0314877999571559,0,1,0,1,1,16,2
0.0186564864599026,0,1,0,1,1,16,2
0.0186564864599026,0,1,0,1,1,16,2
-0.00256453199221918,0,1,0,1,1,16,2
-0.0139153092919289,0,1,0,1,1,16,2
-0.0237855504156093,0,1,0,1,1,16,2
-0.0158893575171435,0,1,0,1,1,16,2
-0.00256453199221918,0,1,0,1,1,16,2
-9.69717085941291e-05,0,1,0,1,1,16,2
0.0181629744025384,0,1,0,1,1,16,2
0.0171759502878603,0,1,0,1,1,16,2
0.000396540348178043,0,1,0,1,1,16,2
-0.0163828695734094,0,1,0,1,1,16,2
-0.0168763816296602,0,1,0,1,1,16,2
-0.0237855504156093,0,1,0,1,1,16,2
-0.00749965255830709,0,1,0,1,1,16,2
-0.00848667667133984,0,1,0,1,1,16,2
0.010760293544033,0,1,0,1,1,16,2
0.00779922120164533,0,1,0,1,1,16,2
0.0137213658869983,0,1,0,1,1,16,2
-0.0242790624716367,0,1,0,1,1,18,2
0.0319813120149677,0,1,0,1,1,18,2
0.0788649575867488,0,1,0,1,1,18,2
0.115384850042815,0,1,0,1,1,18,2
0.134138308373311,0,1,0,1,1,18,2
0.0936703193805015,0,1,0,1,1,18,2
0.0546828666928643,0,1,0,1,1,18,2
0.00385112474602067,0,1,0,1,1,18,2
-0.0351363277005703,0,1,0,1,1,18,2
-0.0193439419106909,0,1,0,1,1,18,2
-0.0114477490100704,0,1,0,1,1,18,2
0.0349423843621945,0,1,0,1,1,18,2
0.0808390058249335,0,1,0,1,1,18,2
0.103047048525472,0,1,0,1,1,18,2
0.0788649575867488,0,1,0,1,1,18,2
0.0630725716919258,0,1,0,1,1,18,2
0.00434463680291808,0,1,0,1,1,18,2
-0.0208244780791302,0,1,0,1,1,18,2
-0.0361233518119457,0,1,0,1,1,18,2
-0.0237855504156093,0,1,0,1,1,18,2
0.0216175588044285,0,1,0,1,1,18,2
0.0403710170003686,0,1,0,1,1,18,2
0.0596179872799203,0,1,0,1,1,18,2
0.0581374511036161,0,1,0,1,1,18,2
0.0339553602463845,0,1,0,1,1,18,2
-9.69717085941291e-05,0,1,0,1,1,18,2
-0.0119412610664726,0,1,0,1,1,18,2
-0.026253110695603,0,1,0,1,1,18,2
-0.0139153092919289,0,1,0,1,1,18,2
0.00582517297370622,0,1,0,1,1,18,2
0.0166824382305455,0,1,0,1,1,18,2
0.0226045829194028,0,1,0,1,1,18,2
0.0472801858156018,0,1,0,1,1,18,2
0.0117473176582905,0,1,0,1,1,18,2
0.00631868503066668,0,1,0,1,1,18,2
-0.0139153092919289,0,1,0,1,1,18,2
-0.021811502191349,0,1,0,1,1,18,2
-0.0168763816296602,0,1,0,1,1,18,2
-0.00404506816220795,0,1,0,1,1,18,2
0.0117473176582905,0,1,0,1,1,18,2
0.0290202396683483,0,1,0,1,1,18,2
0.0221110708619072,0,1,0,1,1,18,2
0.0122408297154433,0,1,0,1,1,18,2
0.00533166091676129,0,1,0,1,1,18,2
-0.0232920383595663,0,1,0,1,1,18,2
-0.0257595986396337,0,1,0,1,1,18,2
-0.0173698936858964,0,1,0,1,1,18,2
-0.0104607248972215,0,1,0,1,1,18,2
0.0127343417726116,0,1,0,1,1,18,2
0.0477736978739633,0,0,1,1,1,19,1
0.0576439390448833,0,0,1,1,1,19,1
0.108969193252248,0,0,1,1,1,19,1
0.115384850042815,0,0,1,1,1,19,1
0.111930265616706,0,0,1,1,1,19,1
0.0971249038015172,0,0,1,1,1,19,1
0.05270881845854,0,0,1,1,1,19,1
0.0295137517260757,0,0,1,1,1,19,1
0.0245786311495486,0,0,1,1,1,19,1
0.0132278538297972,0,0,1,1,1,19,1
0.0280332155529424,0,0,1,1,1,19,1
0.0245786311495486,0,0,1,1,1,19,1
0.0334618481885056,0,0,1,1,1,19,1
0.0275397034952647,0,0,1,1,1,19,1
-0.000590483765350314,0,0,1,1,1,19,1
-0.033162279477648,0,0,1,1,1,19,1
-0.052902761696731,0,0,1,1,1,19,1
-0.0800459247126857,0,0,1,1,1,19,1
-0.0953447983956481,0,0,1,1,1,19,1
-0.0978123586660016,0,0,1,1,1,19,1
-0.0987993827740596,0,0,1,1,1,19,1
-0.0859680693655549,0,0,1,1,1,19,1
-0.113604744389338,0,0,1,1,1,19,1
-0.115578792603932,0,0,1,1,1,19,1
-0.14617653990799,0,0,1,1,1,19,1
-0.151605172490045,0,0,1,1,1,19,1
-0.169865118439312,0,0,1,1,1,19,1
-0.169865118439312,0,0,1,1,1,19,1
-0.156046780965389,0,0,1,1,1,19,1
